,Title,DOI,Author
83,Bacterially mediated iron cycling and associated biogeochemical processes in a subtropical shallow coastal aquifer: Implications for groundwater quality,10.1007/s10750-012-1184-z,Lin C.
84,Groundwater response to tidal fluctuation in a sloping leaky aquifer system,10.1016/j.apm.2011.12.009,Asadi-Aghbolaghi M.
85,"Identifying the contribution of regional groundwater to the baseflow of a tropical river (Daly River, Australia)",10.1016/j.jhydrol.2012.06.058,Smerdon B.D.
86,Three dimensional simulation of seawater intrusion in coastal aquifers: A case study in the Goksu Deltaic Plain,10.1016/j.jhydrol.2012.07.022,Cobaner M.
87,"Incorporating the concept of equivalent freshwater head in successive horizontal simulations of seawater intrusion in the Nile Delta aquifer, Egypt",10.1016/j.jhydrol.2012.07.007,Sherif M.
88,Noble gases and coupled heat/fluid flow modeling for evaluating hydrogeologic conditions of volcanic island aquifers,10.1016/j.jhydrol.2012.07.019,Heilweil V.M.
89,Methodological study of submarine groundwater discharge from a karstic aquifer in the Western Mediterranean Sea,10.1016/j.jhydrol.2012.06.020,Mejías M.
90,Areal simulation of seawater intrusion in the Nile Delta aquifer,10.1061/9780784412312.003,Sherif M.M.
91,Nutrients in estuaries - An overview and the potential impacts of climate change,10.1016/j.scitotenv.2011.09.088,Statham P.
92,Groundwater: A pathway for terrestrial C and N losses and indirect greenhouse gas emissions,10.1016/j.agee.2012.06.015,Jahangir M.M.R.
93,Loading effect of water table variation and density effect on tidal head fluctuations in a coastal aquifer system,10.1029/2011WR011600,Wang X.
94,The use of injection wells and a subsurface barrier in the prevention of seawater intrusion: A modelling approach,10.1007/s12517-011-0304-9,Allow K.A.
95,"Fluorine contents and its characteristics of groundwater in fluorosis area in Laizhou Bay, China",10.1080/02772248.2012.721208,Chen Q.
96,"Multi isotopic approach to study temporal variation of groundwater quality in coastal aquifer of Saijo plain, Shikoku Island, Japan",10.1134/S0097807812050077,Kumar P.
97,Molecular composition of humic acids from coastal wetland soils along a salinity gradient,10.2136/sssaj2011.0346,Dodla S.K.
98,"Determination of Seawater Intrusion via Hydrochemicals and Isotopes in Bafra Plain, Turkey",10.1007/s11269-012-0112-3,Arslan H.
99,"A Coastal Aquifer Study Using Magnetotelluric and Gravity Methods in Abo Zenema, Egypt",10.1007/s00024-011-0407-y,Abdelzaher M.
100,"Tidal and Groundwater Fluxes to a Shallow, Microtidal Estuary: Constraining Inputs Through Field Observations and Hydrodynamic Modeling",10.1007/s12237-012-9515-x,Ganju N.K.
101,Submarine Groundwater Discharge-Derived Nutrient Loads to San Francisco Bay: Implications to Future Ecosystem Changes,10.1007/s12237-012-9526-7,Null K.
102,Electrical Conductivity as a Proxy for Groundwater Density in Coastal Aquifers,10.1111/j.1745-6584.2011.00903.x,Post V.E.A.
103,The Effects of the 2004 Tsunami on a Coastal Aquifer in Sri Lanka,10.1111/j.1745-6584.2011.00893.x,Vithanage M.
104,"Hydrogeochemical Modelling for Groundwater in Neyveli Aquifer, Tamil Nadu, India, Using PHREEQC: A Case Study",10.1007/s11053-012-9180-6,Chidambaram S.
105,Assessing the effect of saltwater intrusion on petroleum hydrocarbons plumes via numerical modelling,10.1007/s11270-012-1205-6,Mastrocicco M.
106,"Geochemistry of a continental saline aquifer for CO <inf>2</inf> sequestration: The Guantao formation in the Bohai Bay Basin, North China",10.1016/j.apgeochem.2012.02.017,Pang Z.
107,"Estimation of submarine groundwater discharge and associated nutrient fluxes in Tolo Harbour, Hong Kong",10.1016/j.scitotenv.2012.06.073,Lee C.
108,Focused time-lapse inversion of radio and audio magnetotelluric data,10.1016/j.jappgeo.2012.05.012,Rosas Carbajal M.
109,High resolution satellite imagery analysis for inferring surface-subsurface water relationships in unstable slopes,10.1016/j.rse.2012.05.007,Wasowski J.
110,Impacts of oil sands process water on fen plants: Implications for plant selection in required reclamation projects,10.1016/j.envpol.2012.03.050,Pouliot R.
111,"Effects of karst processes on surface water and groundwater hydrology at Skaistkalne Vicinity, Latvia",10.2166/nh.2012.123,Delina A.
112,"Evaluation of outputs from automated baseflow separation methods against simulated baseflow from a physically based, surface water-groundwater flow model",10.1016/j.jhydrol.2012.06.029,Partington D.
113,Groundwater flood or groundwater-induced flood?,10.1144/1470-9236/10-040,Robins N.
114,"Influence of permafrost distribution on groundwater flow in the context of climate-driven permafrost thaw: Example from Yukon Flats Basin, Alaska, United States",10.1029/2011WR011595,Walvoord M.A.
115,Integrated approach for demarcating subsurface pollution and saline water intrusion zones in SIPCOT area: A case study from Cuddalore in Southern India,10.1007/s10661-011-2327-9,Sankaran S.
116,Assessment of climate change impacts on the quantity and quality of a coastal catchment using a coupled groundwater-surface water model,10.1007/s10584-011-0367-3,Sonnenborg T.O.
117,The enhancing effect on tidal signals of a submarine spring connected to a semi-infinite confined aquifer,10.1080/02626667.2012.701304,Xia Y.
118,"An integrated approach to assess the quality of groundwater in a coastal aquifer of Andhra Pradesh, India",10.1007/s12665-011-1438-5,Swarna Latha P.
119,"Decade-scale coastal bluff retreat from LiDAR data: Lake Erie coast of NW Pennsylvania, USA",10.1007/s12665-011-1425-x,Foyle A.M.
120,"Coral Ba/Ca molar ratios as a proxy of precipitation in the northern Yucatan Peninsula, Mexico",10.1016/j.apgeochem.2012.05.008,Horta-Puga G.
121,The Importance of Data Acquisition Techniques in Saltwater Intrusion Monitoring,10.1007/s11269-012-0052-y,Mastrocicco M.
122,Laboratory investigations of the effects of geologic heterogeneity on groundwater salinization and flush-out times from a tsunami-like event,10.1016/j.jconhyd.2012.05.001,Vithanage M.
123,"Finite element modelling of seawater intrusion in Wadi Ham aquifer, UAE",10.1108/02644401211235852,Javadi A.A.
124,Shallow groundwater mercury supply in a coastal plain stream,10.1021/es301540g,Bradley P.
125,Coupling automated radon and carbon dioxide measurements in coastal waters,10.1021/es301961b,Santos I.
126,"Hydrochemical characteristics and salinization processes of groundwater in the shallow aquifer of Eastern Laizhou Bay, China",10.1002/hyp.8362,Wen X.
127,Chemical weathering fluxes from volcanic islands and the importance of groundwater: The Hawaiian example,10.1016/j.epsl.2012.05.028,Schopka H.
128,"Elevated concentrations of dissolved Ba, Fe and Mn in a mangrove subterranean estuary: Consequence of sea level rise?",10.1016/j.csr.2012.04.015,Sanders C.
129,"Occurrence and geochemical behavior of arsenic in a coastal aquifer-aquitard system of the Pearl River Delta, China",10.1016/j.scitotenv.2012.04.006,Wang Y.
130,Analytical study of hydraulic and mechanical effects on tide-induced head fluctuation in a coastal aquifer system that extends under the sea,10.1016/j.jhydrol.2012.05.015,Guarracino L.
131,Three-dimensional numerical simulation of tidal bore of Qiantang River,10.3969/j.issn1000-4874.2012.04.001,Wang C.X.
132,Land cover effects on groundwater recharge in the tropics: Ecohydrologic mechanisms,10.1002/eco.236,Brauman K.A.
133,"Hydrogeochemical study of shallow carbonate aquifers, Rameswaram Island, India",10.1007/s10661-011-2249-6,Krishna Kumar S.
134,"Spatial evaluation of groundwater quality in Kazhakuttam block, Thiruvananthapuram district, Kerala",10.1007/s12594-012-0117-9,Binoj Kumar R.B.
135,Tides and storm surges in the Thames River Estuary,10.1134/S0097807812040100,Mikhailov V.
136,Saltwater intrusion estimation in a karstified coastal system using density-dependent modelling and comparison with the sharp-interface approach,10.1080/02626667.2012.690070,Dokou Z.
137,Feature analysis of groundwater discharge points in coastal regions around Mt. Chokaisan using ALOS AVNIR-2 Data,10.1002/ecj.11398,Kageyama Y.
138,Tracing groundwater discharge in a High Arctic lake using radon-222,10.1007/s12665-011-1348-6,Dugan H.
139,"Climate change and the future of freshwater resources of the island: A case study on the Rishiri Island, Japan",10.1007/s12665-011-1340-1,Mandal A.K.
140,Modeling radium distribution in coastal aquifers during sea level changes: The Dead Sea case,10.1016/j.gca.2012.03.022,Kiro Y.
141,Diagenetic barium cycling in Black Sea sediments - A case study for anoxic marine environments,10.1016/j.gca.2012.04.021,Henkel S.
142,Simulation of Seawater Intrusion Range in Coastal Aquifer Using the FEMWATER Model for Disaster Information,10.1080/1064119X.2011.602388,Kim S.
143,A simple method for estimating basin-scale groundwater discharge by vegetation in the basin and range province of Arizona using remote sensing information and geographic information systems,10.1016/j.jaridenv.2012.02.010,Tillman F.
144,Transient nature of Arctic spring systems driven by subglacial meltwater,10.1029/2012GL051445,Scheidegger J.M.
145,Hydrogeological characterization of seawater intrusion in tidally-forced coastal fractured bedrock aquifer,10.1016/j.jhydrol.2012.04.033,Park H.Y.
146,Identification of discharge zones and quantification of contaminant mass discharges into a local stream from a landfill in a heterogeneous geologic setting,10.1016/j.jhydrol.2012.04.012,Milosevic N.
147,Effects of drought and subtidal sea-level variability on salt intrusion in a coastal karst aquifer,10.1071/MF11270,Vera I.
148,Distribution of anaerobic ammonia-oxidizing bacteria in a subterranean estuary,10.1016/j.marchem.2012.04.004,Sáenz J.P.
149,"Locating and characterising groundwater storage areas within an alpine watershed using time-lapse gravity, GPR and seismic refraction methods",10.1002/hyp.9316,McClymont A.F.
150,Spatio-temporal impact of climate change on the groundwater system,10.5194/hess-16-1517-2012,Dams J.
151,"Remote Sensing and GIS in identification of groundwater potential zones: A study at Thirumullaivasal village, Nagapattinam district, Tamilnadu, India",10.4028/www.scientific.net/AMM.170-173.2776,Rajesh Kumar V.
152,A study on seawater intrusion prevention measures and comprehensive governing pattern,10.4028/www.scientific.net/AMM.170-173.2132,Li X.
153,Mobilization and transport of naturally occurring enterococci in beach sands subject to transient infiltration of seawater,10.1021/es300408z,Russell T.
154,"Atmosphere-ocean-groundwater modeling system for seawater intrusion simulation in Liaodong Bay coastal plain, China",10.4028/www.scientific.net/AMR.518-523.4155,Ding F.
155,How significant is submarine groundwater discharge and its associated dissolved inorganic carbon in a river-dominated shelf system?,10.5194/bg-9-1777-2012,Liu Q.
156,Detecting and quantifying reductive dechlorination under monitored natural attenuation conditions,10.1002/rem.21320,Istok J.
157,"An evaluation of physical and chemical discharge parameters at a spring that drains the epikarst: Kentucky, USA",10.1007/s13146-012-0103-8,Jackson D.
158,Hydrochemical analysis to evaluate the seawater ingress in a small coral island of India,10.1007/s10661-011-2234-0,Banerjee P.
159,Impact of Sea Level Rise on Groundwater Salinity in a Coastal Community of South Florida,10.1111/j.1752-1688.2011.00630.x,Guha H.
160,Analysis of groundwater-level fluctuation in a coastal confined aquifer induced by sea-level variation,10.1007/s10040-012-0838-2,Dong L.
161,"Increase of marine juvenile fish abundances in the middle Gironde estuary related to warmer and more saline waters, due to global changes",10.1016/j.ecss.2012.03.021,Pasquaud S.
162,National scale evaluation of groundwater chemistry in Korea coastal aquifers: Evidences of seawater intrusion,10.1007/s12665-011-1278-3,Park Y.
163,"Delineation of groundwater provenance in a coastal aquifer using statistical and isotopic methods, Southeast Tanzania",10.1007/s12665-011-1299-y,Bakari S.S.
164,Identification of phosphorus export from low-runoff yielding areas using combined application of high frequency water quality data and MODHMS modelling,10.1016/j.scitotenv.2012.03.021,Donn M.
165,Microbial transformations of arsenic: Mobilization from glauconitic sediments to water,10.1016/j.watres.2012.02.044,Mumford A.C.
166,"In-situ radionuclide characterization of a submarine groundwater discharge site at Kalogria Bay, Stoupa, Greece",10.1016/j.jenvrad.2011.08.005,Tsabaris C.
167,A groundwater nonpoint source pollution modeling framework to evaluate long-term dynamics of pollutant exceedance probabilities in wells and other discharge locations,10.1029/2011WR010813,Kourakos G.
168,"Origin of groundwater salinity and hydrogeochemical processes in the confined Quaternary aquifer of the Pearl River Delta, China",10.1016/j.jhydrol.2012.03.008,Wang Y.
169,Sr and <sup>87</sup>Sr/ <sup>86</sup>Sr in estuaries of western India: Impact of submarine groundwater discharge,10.1016/j.gca.2012.02.025,Rahaman W.
170,Spatial distribution of submarine groundwater discharge and associated nutrients within a local coastal area,10.1021/es2043867,Hosono T.
171,Hydro-geochemistry implications of evolution of pore water in low-penetrability aquifer and significance of paleoclimate,10.3799/dqkx.2012.070,Li J.
172,Transport by oscillatory flow in soils with rate-limited mass transfer: 1. theory,10.2136/vzj2011.0093,Neeper D.
173,"Importance of groundwater and macrophytes for the nutrient balance at oligotrophic Lake Hampen, Denmark",10.1002/eco.213,Oliveira Ommen D.A.
174,Linkages between submarine groundwater systems and the environment,10.1016/j.cosust.2012.03.006,Zhang J.
175,Boundary Condition Effects on Maximum Groundwater Withdrawal in Coastal Aquifers,10.1111/j.1745-6584.2011.00880.x,Lu C.
176,"Groundwater salinization processes in shallow coastal aquifer of Djeffara plain of Medenine, Southeastern Tunisia",10.1007/s12665-011-1273-8,Trabelsi R.
177,Vulnerability of coastal aquifers to groundwater use and climate change,10.1038/nclimate1413,Ferguson G.
178,Groundwater seepage stimulates the growth of aquatic macrophytes,10.1111/j.1365-2427.2012.02747.x,Frandsen M.
179,A comparison of fibre-optic distributed temperature sensing to traditional methods of evaluating groundwater inflow to streams,10.1002/hyp.8200,Briggs M.
180,How a Sphagnum fuscum-dominated bog changed into a calcareous fen: The unique Holocene history of a Slovak spring-fed mire,10.1002/jqs.1534,Hájková P.
181,"Nutrients fluxes from groundwater discharge into Mangueira Lagoon (Rio Grande do Sul, Brasil)",10.1590/S0100-40422012000100002,Andrade C.F.F.
182,Geochemical and isotopic study of paleogroundwater salinization in southeastern Tunisia (Sfax basin),10.1016/j.quaint.2011.10.028,Ben Cheikh N.
183,Regional scale assessment of Submarine Groundwater Discharge in Ireland combining medium resolution satellite imagery and geochemical tracing techniques,10.1016/j.rse.2011.11.018,Wilson J.
184,Scale effects of storm-runoff processes in agricultural areas in Huaibei Plain,10.3969/j.issn.1002-6819.2012.08.005,Han S.
185,Travel time controls the magnitude of nitrate discharge in groundwater bypassing the riparian zone to a stream on Virginia's coastal plain,10.1002/hyp.8219,Flewelling S.A.
186,δ <sup>44/40</sup>Ca variability in shallow water carbonates and the impact of submarine groundwater discharge on Ca-cycling in marine environments,10.1016/j.gca.2011.12.031,Holmden C.
187,Delineation of temporal variability and governing factors influencing the spatial variability of shallow groundwater chemistry in a tropical sedimentary island,10.1016/j.jhydrol.2012.02.015,Lin C.Y.
188,"Analysis of salinization processes in the coastal carbonate aquifer of Porto Torres (NW Sardinia, Italy)",10.1016/j.jhydrol.2012.02.016,Ghiglieri G.
189,Groundwater-surface water interaction between an esker aquifer and a drained fen,10.1016/j.jhydrol.2012.02.026,Rossi P.M.
190,Distinct approaches for the detection and removal of chimeric 16S rRNA sequences can significantly affect the outcome of between-site comparisons,10.3354/ame01510,Zajec N.
191,Study on hydro-geochemical action during seawater intrusion,10.4028/www.scientific.net/AMR.468-471.2385,Ren J.
192,Air-water partitioning of <sup>222</sup>Rn and its dependence on water temperature and salinity,10.1021/es204680n,Schubert M.
193,"Water resources management under possible future climate and land use changes: The application of the integrated hydrological modelling system, IHMS",10.1007/978-94-007-4756-2_5,Ragab R.
194,"Origin and Flow Dynamics of Perennial Groundwater in Continuous Permafrost Terrain using Isotopes and Noble Gases: Case Study of the Fishing Branch River, Northern Yukon, Canada",10.1002/ppp.1732,Utting N.
195,Environmental control of species richness and composition in upland grasslands of the southern Czech Republic,10.1007/s11258-012-0024-6,Merunková K.
196,Hydric Restoration of the Agua Amarga Salt Marsh (SE Spain) Affected by Abstraction from the Underlying Coastal Aquifer,10.1007/s11269-012-9987-2,Manteca I.
197,"Hydrogeochemical processes in a shallow coastal plain sand aquifer and tidal river systems (Calabar, Southeastern Nigeria): Tracking wastewater and seawater pollution in ground and river waters",10.1007/s12665-011-1175-9,Edet A.
198,Changes in organic phosphorus composition in boreal forest humus soils: the role of iron and aluminium,10.1007/s10533-011-9612-0,Vincent A.G.
199,Rainfall infiltration-derived submarine groundwater discharge from multi-layered aquifer system terminating at the coastline,10.1002/hyp.8188,Guo Q.
200,Spatially variable stage-driven groundwater-surface water interaction inferred from time-frequency analysis of distributed temperature sensing data,10.1029/2011GL050824,Mwakanyamale K.
201,"Nitrogen-rich groundwater intrusion affects productivity, but not herbivory, of the tropical seagrass thalassia testudinum",10.3354/ab00413,Peterson B.
202,A combined field and modeling study of groundwater flow in a tidal marsh,10.5194/hess-16-741-2012,Xia Y.Q.
203,Effect of Irrigation Methods on Groundwater Recharge in Alluvial Fan Area,10.1061/(ASCE)IR.1943-4774.0000395,Liu H.L.
204,Iron isotope fractionation in a sulfide-bearing subterranean estuary and its potential influence on oceanic Fe isotope flux,10.1016/j.chemgeo.2012.01.022,Roy M.
205,"Submarine Groundwater Discharge: A Source of Nutrients, Metals, and Pollutants to the Coastal Ocean",10.1016/B978-0-12-374711-2.00410-1,Knee K.L.
206,Analytical Characterization of Selective Benthic Flux Components in Estuarine and Coastal Waters,10.1016/B978-0-12-374711-2.00917-7,King J.N.
207,"Using radium isotopes to estimate the residence time and the contribution of submarine groundwater discharge (SGD) in the Changjiang effluent plume, East China Sea",10.1016/j.csr.2012.01.002,Gu H.
